src,trg,pred
میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے بہت استعمالی کسٹمر سروس ہے
مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا مجھ سے استی
رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ اس کا انتظار ک
کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی و
مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے اور میرا بہت تر تھے۔
گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن ک
لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور اس کا انتظار کرتا رہا۔
تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے کرتا ہوں۔
میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت موٹا تھا۔
میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت کرتا رہا
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بدترین نیا مالک، میں نے سنا اور میں تفصیلات بھی ج
