src,trg,pred
میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے، لیکن مجھ
یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت گناہ جگہ تھی۔
رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ نہیں آتا ہے۔
کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت گنجائی تھا، زیادہ چکنائی والا تھا اور اچھ
مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت برا تھے۔
میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے اور مجھ
اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت برا اور خور تھا۔
اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جہن رکھا۔
میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر نہیں ہوا۔
مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن بربائی ہے۔
عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں
اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت بربر تھا اور اس کی قیمت بھی بہتر تھ
سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا ت
تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینک
